Сеть,Адрес,Рейтинг,Отзывов,2GIS_ID,Ссылка,Статус,Контакт,Заметка
Zebra Coffee,"Проспект Мангилик Ел, 56",4.8,2151,70000001050680764,https://2gis.kz/astana/firm/70000001050680764,не начато,,
Zebra Coffee,"Проспект Туран, 42",4.8,2536,70000001062719564,https://2gis.kz/astana/firm/70000001062719564,не начато,,
Zebra Coffee,"Улица Достык, 8",4.7,2739,70000001068161326,https://2gis.kz/astana/firm/70000001068161326,не начато,,
Zebra Coffee,"Улица Кайым Мухамедханов, 6",4.8,2167,70000001064335924,https://2gis.kz/astana/firm/70000001064335924,не начато,,
Zebra Coffee,"Улица Шамши Калдаяков, 6",4.7,1651,70000001045518620,https://2gis.kz/astana/firm/70000001045518620,не начато,,
Zebra Coffee,"Проспект Мангилик Ел, 38",4.8,2791,70000001045554424,https://2gis.kz/astana/firm/70000001045554424,не начато,,
Zebra Coffee,"Проспект Мангилик Ел, 19",4.9,2491,70000001088254095,https://2gis.kz/astana/firm/70000001088254095,не начато,,
Zebra Coffee,"Проспект Туран, 5/1 киоск",4.5,2440,70000001037260921,https://2gis.kz/astana/firm/70000001037260921,не начато,,
Zebra Coffee,"ТЦ Жайлы | улица Каныш Сатпаев, 14",4.7,2731,70000001049053420,https://2gis.kz/astana/firm/70000001049053420,не начато,,
Zebra Coffee,"Проспект Улы Дала, 31Б",4.7,2255,70000001061358338,https://2gis.kz/astana/firm/70000001061358338,не начато,,
Zebra Coffee,"Улица Мухтара Ауэзова, 17",4.8,2187,70000001045451336,https://2gis.kz/astana/firm/70000001045451336,не начато,,
Zebra Coffee,"Проспект Ракымжан Кошкарбаев, 29",4.9,3064,70000001078959885,https://2gis.kz/astana/firm/70000001078959885,не начато,,
Zebra Coffee,"Улица Калибек Куанышбаев, 11а",4.7,1895,70000001080966083,https://2gis.kz/astana/firm/70000001080966083,не начато,,
Zebra Coffee,"Кабанбай батыр проспект, 13",4.9,1828,70000001060592523,https://2gis.kz/astana/firm/70000001060592523,не начато,,
Zebra Coffee,"Проспект Республики, 7",4.7,1794,70000001079664220,https://2gis.kz/astana/firm/70000001079664220,не начато,,
Zebra Coffee,"Проспект Туран, 39а",4.8,1382,70000001090887015,https://2gis.kz/astana/firm/70000001090887015,не начато,,
Zebra Coffee,"Улица Туркестан, 28",4.8,1049,70000001089535650,https://2gis.kz/astana/firm/70000001089535650,не начато,,
Zebra Coffee,"Улица Кенжебек Кумисбеков, 11",4.9,1964,70000001080220312,https://2gis.kz/astana/firm/70000001080220312,не начато,,
Zebra Coffee,"Улица Ахмет Байтурсынулы, 16",4.8,1542,70000001080449388,https://2gis.kz/astana/firm/70000001080449388,не начато,,
Zebra Coffee,"Улица Аскар Токпанов, 22а",4.6,1359,70000001084025319,https://2gis.kz/astana/firm/70000001084025319,не начато,,
Zebra Coffee,"Проспект Женис, 63",4.7,1161,70000001103106363,https://2gis.kz/astana/firm/70000001103106363,не начато,,
Zebra Coffee,"Проспект Ракымжан Кошкарбаев, 54/1",4.9,794,70000001110002143,https://2gis.kz/astana/firm/70000001110002143,не начато,,
Zebra Coffee,"Проспект Тауелсиздик, 34/5 киоск",4.7,2028,70000001060684766,https://2gis.kz/astana/firm/70000001060684766,не начато,,
Zebra Coffee,"Деловой дом Алма-Ата | Амангельды Иманова улица, 19",4.7,492,70000001106066559,https://2gis.kz/astana/firm/70000001106066559,не начато,,
Zebra Coffee,"ТРЦ MEGA Silk Way | Кабанбай батыр проспект, 62",4.7,1555,70000001057557607,https://2gis.kz/astana/firm/70000001057557607,не начато,,
Zebra Coffee,"Улица Кайым Мухамедханов, 4 блок А",4.8,1136,70000001086867699,https://2gis.kz/astana/firm/70000001086867699,не начато,,
Zebra Coffee,"Проспект Туран, 43/3",4.8,974,70000001089072457,https://2gis.kz/astana/firm/70000001089072457,не начато,,
Zebra Coffee,"Улица Жумекен Нажимеденов, 27",4.9,1082,70000001099743613,https://2gis.kz/astana/firm/70000001099743613,не начато,,
Zebra Coffee,"Улица Илияс Омаров, 12в",4.8,990,70000001094177735,https://2gis.kz/astana/firm/70000001094177735,не начато,,
Zebra Coffee,"Улица Санжара Асфендиярова, 1",4.7,1440,70000001062846328,https://2gis.kz/astana/firm/70000001062846328,не начато,,
Zebra Coffee,"ТРЦ Аружан | Илияса Жансугурова улица, 8/1",4.6,676,70000001103902161,https://2gis.kz/astana/firm/70000001103902161,не начато,,
Zebra Coffee,"Амангельды Иманова улица, 3/1в киоск",4.7,1456,70000001059959174,https://2gis.kz/astana/firm/70000001059959174,не начато,,
Zebra Coffee,"Аль-Фараби проспект, 11/1",4.9,1497,70000001076564440,https://2gis.kz/astana/firm/70000001076564440,не начато,,
Zebra Coffee,"Улица Сыганак, 6",4.7,898,70000001060702334,https://2gis.kz/astana/firm/70000001060702334,не начато,,
Zebra Coffee,"Улица Сыганак, 48",4.8,1137,70000001070115192,https://2gis.kz/astana/firm/70000001070115192,не начато,,
Zebra Coffee,"Улица Жумекен Нажимеденов, 28",4.9,417,70000001106066512,https://2gis.kz/astana/firm/70000001106066512,не начато,,
Zebra Coffee,"Проспект Улы Дала, 71",4.9,2476,70000001066331460,https://2gis.kz/astana/firm/70000001066331460,не начато,,
Zebra Coffee,"Проспект Абая, 42",4.7,510,70000001104446204,https://2gis.kz/astana/firm/70000001104446204,не начато,,
Zebra Coffee,"Улица Е-36, 4",4.9,392,70000001103351465,https://2gis.kz/astana/firm/70000001103351465,не начато,,
Zebra Coffee,"Улица Е 900, 2",4.8,1009,70000001070114789,https://2gis.kz/astana/firm/70000001070114789,не начато,,
Zebra Coffee,"Улица Чингиз Айтматов, 79",4.9,244,70000001113807068,https://2gis.kz/astana/firm/70000001113807068,не начато,,
Zebra Coffee,"Проспект Мангилик Ел, 37",4.8,1292,70000001067951051,https://2gis.kz/astana/firm/70000001067951051,не начато,,
Zebra Coffee,"Улица Шамши Калдаяков, 23а",4.9,1426,70000001090887061,https://2gis.kz/astana/firm/70000001090887061,не начато,,
Zebra Coffee,"Проспект Улы Дала, 63",4.9,662,70000001100877765,https://2gis.kz/astana/firm/70000001100877765,не начато,,
Zebra Coffee,"Улица Шамши Калдаяков, 12",4.8,153,70000001112774775,https://2gis.kz/astana/firm/70000001112774775,не начато,,
Zebra Coffee,"Улица Розы Баглановой, 6/3",4.8,1146,70000001089455270,https://2gis.kz/astana/firm/70000001089455270,не начато,,
Zebra Coffee,"Улица Абубакир Тыныбаев, 18",4.8,1110,70000001080449423,https://2gis.kz/astana/firm/70000001080449423,не начато,,
Zebra Coffee,"ТЦ Жаннур | проспект Абая, 48",4.8,463,70000001105217935,https://2gis.kz/astana/firm/70000001105217935,не начато,,
Zebra Coffee,"ЖК Park Avenue-1 | проспект Мангилик Ел, 39",4.9,1375,70000001039693059,https://2gis.kz/astana/firm/70000001039693059,не начато,,
Zebra Coffee,"ТРЦ Asia park | Кабанбай батыр проспект, 21",4.6,783,70000001065290502,https://2gis.kz/astana/firm/70000001065290502,не начато,,
Zebra Coffee,"Проспект Мангилик Ел, 55/1",,248,70000001047480144,https://2gis.kz/astana/firm/70000001047480144,не начато,,
Zebra Coffee,"Проспект Мангилик Ел, 55/1",4.8,347,70000001041959959,https://2gis.kz/astana/firm/70000001041959959,не начато,,
Zebra Coffee,"Шоссе Коргалжын, 2 киоск",4.8,1251,70000001034793489,https://2gis.kz/astana/firm/70000001034793489,не начато,,
Zebra Coffee,"Улица Бейбарыс Султан, 31",4.9,402,70000001112782830,https://2gis.kz/astana/firm/70000001112782830,не начато,,
Espresso Day,"Улица Динмухамед Конаев, 12/2",4.8,193,70000001101055300,https://2gis.kz/astana/firm/70000001101055300,не начато,,
Espresso Day,"Улица Сыганак, 16",4.7,470,70000001088274563,https://2gis.kz/astana/firm/70000001088274563,не начато,,
Espresso Day,"Проспект Мангилик Ел, 19",4.8,236,70000001103155909,https://2gis.kz/astana/firm/70000001103155909,не начато,,
Espresso Day,"Проспект Мангилик Ел, 36/1",4.5,371,70000001094239191,https://2gis.kz/astana/firm/70000001094239191,не начато,,
Espresso Day,"Улица Сагадат Нурмагамбетов, 21",4.8,104,70000001111052712,https://2gis.kz/astana/firm/70000001111052712,не начато,,
Espresso Day,"Проспект Туран, 55/11",4.9,61,70000001114247339,https://2gis.kz/astana/firm/70000001114247339,не начато,,
Espresso Day,"Улица Алихан Бокейхан, 44",4.9,235,70000001104876116,https://2gis.kz/astana/firm/70000001104876116,не начато,,
Espresso Day,"Проспект Тауелсиздик, 25 Блок 1",,25,70000001113245574,https://2gis.kz/astana/firm/70000001113245574,не начато,,
