chain,name,address,district,lat,lng,source,source_id,source_url
Costa Coffee,Costa Coffee,"Проспект Республики, 7",Сарыарка,51.15987327,71.42872536,2GIS current branch listing,70000001019252228,https://2gis.kz/astana/firm/70000001019252228
Costa Coffee,Costa Coffee,"ТРЦ Asia Park, проспект Кабанбай батыра, 21",Нура,51.128155,71.41148,2GIS current branch listing,70000001022723985,https://2gis.kz/astana/firm/70000001022723985
Costa Coffee,Costa Coffee,"ТРЦ KeruenCity, шоссе Коргалжын, 1",Нура,,,2GIS current branch listing,70000001019252130,https://2gis.kz/astana/firm/70000001019252130
Costa Coffee,Costa Coffee,"ТРЦ Керуен, улица Достык, 9",Есиль,51.1281274,71.4253555,2GIS current branch listing,70000001019252025,https://2gis.kz/astana/firm/70000001019252025
Costa Coffee,Costa Coffee,"Улица Туркестан, 16",Есиль,,,2GIS current branch listing,70000001052445446,https://2gis.kz/astana/firm/70000001052445446
Espresso Day,Espresso Day,(адрес не отобразился в 2GIS),Сарайшык,51.12075,71.47647,2GIS snapshot in repository,70000001115651184,https://2gis.kz/astana/firm/70000001115651184
Espresso Day,Espresso Day,(адрес не отобразился в 2GIS),Есильский,51.11713,71.42252,2GIS snapshot in repository,70000001115776449,https://2gis.kz/astana/firm/70000001115776449
Espresso Day,Espresso Day,"Аль-Фараби проспект, 17",Есильский,51.09451,71.4496,2GIS snapshot in repository,70000001114082223,https://2gis.kz/astana/firm/70000001114082223
Espresso Day,Espresso Day,"Аль-Фараби проспект, 35",Есильский,51.08426,71.44437,2GIS snapshot in repository,70000001091239614,https://2gis.kz/astana/firm/70000001091239614
Espresso Day,Espresso Day,"Аль-Фараби проспект, 7",Есильский,51.09914,71.45145,2GIS snapshot in repository,70000001083233614,https://2gis.kz/astana/firm/70000001083233614
Espresso Day,Espresso Day,"Аль-Фараби проспект, 7/2",Есильский,51.10075,71.44897,2GIS snapshot in repository,70000001114962666,https://2gis.kz/astana/firm/70000001114962666
Espresso Day,Espresso Day,"Амангельды Иманова улица, 52",Байконур,51.16018,71.46034,2GIS snapshot in repository,70000001105387303,https://2gis.kz/astana/firm/70000001105387303
Espresso Day,Espresso Day,"БЦ 7 Континент · улица Кенесары, 40",Байконур,51.16574,71.43299,2GIS snapshot in repository,70000001087418118,https://2gis.kz/astana/firm/70000001087418118
Espresso Day,Espresso Day,"БЦ Каскад · Кабанбай батыр проспект, 6/1",Есильский,51.14637,71.42352,2GIS snapshot in repository,70000001113174318,https://2gis.kz/astana/firm/70000001113174318
Espresso Day,Espresso Day,"БЦ Номад · улица Сыганак, 54/2",Есильский,51.12383,71.42184,2GIS snapshot in repository,70000001106389345,https://2gis.kz/astana/firm/70000001106389345
Espresso Day,Espresso Day,"БЦ Нурсаулет-1 · Амангельды Иманова улица, 11",Байконур,51.16396,71.43548,2GIS snapshot in repository,70000001104272228,https://2gis.kz/astana/firm/70000001104272228
Espresso Day,Espresso Day,"Бухар жырау улица, 20",Нура,51.10348,71.39976,2GIS snapshot in repository,70000001112351768,https://2gis.kz/astana/firm/70000001112351768
Espresso Day,Espresso Day,"Бухар жырау улица, 26/1",Есильский,51.10172,71.41213,2GIS snapshot in repository,70000001112351659,https://2gis.kz/astana/firm/70000001112351659
Espresso Day,Espresso Day,"Бухар жырау улица, 27",Есильский,51.09872,71.43864,2GIS snapshot in repository,70000001083262479,https://2gis.kz/astana/firm/70000001083262479
Espresso Day,Espresso Day,"Бухар жырау улица, 28Б",Есильский,51.10028,71.41742,2GIS snapshot in repository,70000001094239190,https://2gis.kz/astana/firm/70000001094239190
Espresso Day,Espresso Day,"Е 117 улица, 38",Есильский,51.07774,71.49299,2GIS snapshot in repository,70000001097199340,https://2gis.kz/astana/firm/70000001097199340
Espresso Day,Espresso Day,"Е-15 улица, 14",Нура,51.12496,71.37574,2GIS snapshot in repository,70000001099025124,https://2gis.kz/astana/firm/70000001099025124
Espresso Day,Espresso Day,"Е-67 улица, 8",Нура,51.12554,71.39892,2GIS snapshot in repository,70000001103347468,https://2gis.kz/astana/firm/70000001103347468
Espresso Day,Espresso Day,"ЖК Алан · проспект Улы Дала, 61",Есильский,51.09434,71.4389,2GIS snapshot in repository,70000001111052726,https://2gis.kz/astana/firm/70000001111052726
Espresso Day,Espresso Day,"ЖК Олимп палас · улица Туркестан, 8/2",Есильский,51.11577,71.42847,2GIS snapshot in repository,70000001099740521,https://2gis.kz/astana/firm/70000001099740521
Espresso Day,Espresso Day,"Кабанбай батыр проспект, 49",Нура,51.10264,71.40537,2GIS snapshot in repository,70000001114419332,https://2gis.kz/astana/firm/70000001114419332
Espresso Day,Espresso Day,"Кабанбай батыр проспект, 53",Нура,51.09057,71.39597,2GIS snapshot in repository,70000001080140646,https://2gis.kz/astana/firm/70000001080140646
Espresso Day,Espresso Day,"Кабанбай батыр проспект, 9/4",Нура,51.14184,71.41568,2GIS snapshot in repository,70000001114082301,https://2gis.kz/astana/firm/70000001114082301
Espresso Day,Espresso Day,"Керей, Жанибек хандар улица, 46",Есильский,51.10642,71.44849,2GIS snapshot in repository,70000001083233701,https://2gis.kz/astana/firm/70000001083233701
Espresso Day,Espresso Day,"Проспект Мангилик Ел, 27",Есильский,51.10909,71.43091,2GIS snapshot in repository,70000001104889790,https://2gis.kz/astana/firm/70000001104889790
Espresso Day,Espresso Day,"Проспект Мангилик Ел, 33/1",Есильский,51.10667,71.43028,2GIS snapshot in repository,70000001098184916,https://2gis.kz/astana/firm/70000001098184916
Espresso Day,Espresso Day,"Проспект Мангилик Ел, 37",Есильский,51.10327,71.42907,2GIS snapshot in repository,70000001111077365,https://2gis.kz/astana/firm/70000001111077365
Espresso Day,Espresso Day,"Проспект Мангилик Ел, 55/1",Есильский,51.0879,71.41708,2GIS snapshot in repository,70000001084319590,https://2gis.kz/astana/firm/70000001084319590
Espresso Day,Espresso Day,"Проспект Мангилик Ел, 55а блок С",Есильский,51.09099,71.42416,2GIS snapshot in repository,70000001110094768,https://2gis.kz/astana/firm/70000001110094768
Espresso Day,Espresso Day,"Проспект Мангилик Ел, 62 Блок Г",Есильский,51.08448,71.42365,2GIS snapshot in repository,70000001110107355,https://2gis.kz/astana/firm/70000001110107355
Espresso Day,Espresso Day,"Проспект Мангилик Ел, 68 Блок B1",Есильский,51.07463,71.42011,2GIS snapshot in repository,70000001102511634,https://2gis.kz/astana/firm/70000001102511634
Espresso Day,Espresso Day,"Проспект Туран, 39/3",Нура,51.12994,71.40133,2GIS snapshot in repository,70000001110134638,https://2gis.kz/astana/firm/70000001110134638
Espresso Day,Espresso Day,"Проспект Туран, 41а",Нура,51.12561,71.40314,2GIS snapshot in repository,70000001076393958,https://2gis.kz/astana/firm/70000001076393958
Espresso Day,Espresso Day,"Проспект Туран, 44/2",Нура,51.11301,71.40274,2GIS snapshot in repository,70000001101151171,https://2gis.kz/astana/firm/70000001101151171
Espresso Day,Espresso Day,"Проспект Туран, 50/3",Нура,51.10681,71.40027,2GIS snapshot in repository,70000001089519051,https://2gis.kz/astana/firm/70000001089519051
Espresso Day,Espresso Day,"Проспект Туран, 55/16",Нура,51.11509,71.39162,2GIS snapshot in repository,70000001104012802,https://2gis.kz/astana/firm/70000001104012802
Espresso Day,Espresso Day,"Проспект Туран, 55/5",Нура,51.11074,71.39774,2GIS snapshot in repository,70000001102889435,https://2gis.kz/astana/firm/70000001102889435
Espresso Day,Espresso Day,"Проспект Туран, 55/8",Нура,51.11192,71.39326,2GIS snapshot in repository,70000001087418126,https://2gis.kz/astana/firm/70000001087418126
Espresso Day,Espresso Day,"Проспект Туран, 57/7",Нура,51.10714,71.39476,2GIS snapshot in repository,70000001115640670,https://2gis.kz/astana/firm/70000001115640670
Espresso Day,Espresso Day,"Проспект Туран, 57а",Нура,51.10735,71.39568,2GIS snapshot in repository,70000001115598420,https://2gis.kz/astana/firm/70000001115598420
Espresso Day,Espresso Day,"Проспект Туран, 57г",Нура,51.10605,71.3961,2GIS snapshot in repository,70000001090031106,https://2gis.kz/astana/firm/70000001090031106
Espresso Day,Espresso Day,"Проспект Улы Дала, 29",Нура,51.10104,71.39185,2GIS snapshot in repository,70000001084343816,https://2gis.kz/astana/firm/70000001084343816
Espresso Day,Espresso Day,"Проспект Улы Дала, 33",Нура,51.0998,71.40107,2GIS snapshot in repository,70000001094239215,https://2gis.kz/astana/firm/70000001094239215
Espresso Day,Espresso Day,"ТРЦ MEGA Silk Way · Кабанбай батыр проспект, 62",Есильский,51.08866,71.40981,2GIS snapshot in repository,70000001077221679,https://2gis.kz/astana/firm/70000001077221679
Espresso Day,Espresso Day,"ТРЦ Аружан · улица Илияса Жансугурова, 8/1",Алматинский,51.16015,71.48293,2GIS snapshot in repository,70000001104267298,https://2gis.kz/astana/firm/70000001104267298
Espresso Day,Espresso Day,"ТРЦ Сарыарка · проспект Туран, 24",Нура,51.13858,71.40982,2GIS snapshot in repository,70000001088846231,https://2gis.kz/astana/firm/70000001088846231
Espresso Day,Espresso Day,"Улица А 52, 4",Сарайшык,51.10557,71.51024,2GIS snapshot in repository,70000001113474931,https://2gis.kz/astana/firm/70000001113474931
Espresso Day,Espresso Day,"Улица Абикен Бектуров, 9",Нура,51.12223,71.39775,2GIS snapshot in repository,70000001093421006,https://2gis.kz/astana/firm/70000001093421006
Espresso Day,Espresso Day,"Улица Азербайжана Мамбетова, 22",Сарыарка,51.16407,71.42368,2GIS snapshot in repository,70000001114279413,https://2gis.kz/astana/firm/70000001114279413
Espresso Day,Espresso Day,"Улица Азильхан Нуршаихов, 6",Нура,51.13038,71.36213,2GIS snapshot in repository,70000001110094721,https://2gis.kz/astana/firm/70000001110094721
Espresso Day,Espresso Day,"Улица Акмешит, 1 блок В",Есильский,51.11954,71.42468,2GIS snapshot in repository,70000001103156650,https://2gis.kz/astana/firm/70000001103156650
Espresso Day,Espresso Day,"Улица Акмешит, 13",Есильский,51.11223,71.42198,2GIS snapshot in repository,70000001080139494,https://2gis.kz/astana/firm/70000001080139494
Espresso Day,Espresso Day,"Улица Александра Пушкина, 1",Байконур,51.15591,71.45357,2GIS snapshot in repository,70000001101556223,https://2gis.kz/astana/firm/70000001101556223
Espresso Day,Espresso Day,"Улица Алихан Бокейхан, 16",Есильский,51.108,71.43455,2GIS snapshot in repository,70000001080139505,https://2gis.kz/astana/firm/70000001080139505
Espresso Day,Espresso Day,"Улица Алихан Бокейхан, 16/2",Есильский,51.10579,71.43416,2GIS snapshot in repository,70000001100594179,https://2gis.kz/astana/firm/70000001100594179
Espresso Day,Espresso Day,"Улица Анет баба, 11/3",Нура,51.13928,71.38178,2GIS snapshot in repository,70000001103338544,https://2gis.kz/astana/firm/70000001103338544
Espresso Day,Espresso Day,"Улица Анет баба, 8",Нура,51.13581,71.38518,2GIS snapshot in repository,70000001096814152,https://2gis.kz/astana/firm/70000001096814152
Espresso Day,Espresso Day,"Улица Ахмет Байтурсынулы, 32",Сарайшык,51.11538,71.5258,2GIS snapshot in repository,70000001114687961,https://2gis.kz/astana/firm/70000001114687961
Espresso Day,Espresso Day,"Улица Достык, 2",Нура,51.1282,71.40751,2GIS snapshot in repository,70000001090031093,https://2gis.kz/astana/firm/70000001090031093
Espresso Day,Espresso Day,"Улица Е 669, 4",Есильский,51.08794,71.46959,2GIS snapshot in repository,70000001100210984,https://2gis.kz/astana/firm/70000001100210984
Espresso Day,Espresso Day,"Улица Е 882, 7",Нура,51.16422,71.38942,2GIS snapshot in repository,70000001113896183,https://2gis.kz/astana/firm/70000001113896183
Espresso Day,Espresso Day,"Улица Е 900, 6",Нура,51.13449,71.39514,2GIS snapshot in repository,70000001105387237,https://2gis.kz/astana/firm/70000001105387237
Espresso Day,Espresso Day,"Улица Е-321, 6",Есильский,51.06353,71.42422,2GIS snapshot in repository,70000001112351583,https://2gis.kz/astana/firm/70000001112351583
Espresso Day,Espresso Day,"Улица Е-36, 2/1",Нура,51.12456,71.38101,2GIS snapshot in repository,70000001097199348,https://2gis.kz/astana/firm/70000001097199348
Espresso Day,Espresso Day,"Улица Е-429, 24",Нура,51.13213,71.35882,2GIS snapshot in repository,70000001113191185,https://2gis.kz/astana/firm/70000001113191185
Espresso Day,Espresso Day,"Улица Е-899, 1/1",Нура,51.132,71.38768,2GIS snapshot in repository,70000001078554732,https://2gis.kz/astana/firm/70000001078554732
Espresso Day,Espresso Day,"Улица Е-899, 5/3",Нура,51.13819,71.38839,2GIS snapshot in repository,70000001105387339,https://2gis.kz/astana/firm/70000001105387339
Espresso Day,Espresso Day,"Улица Желтоксан, 3а киоск",Сарыарка,51.16119,71.4205,2GIS snapshot in repository,70000001112351788,https://2gis.kz/astana/firm/70000001112351788
Espresso Day,Espresso Day,"Улица Жошы хан, 16/1",Есильский,51.10362,71.44343,2GIS snapshot in repository,70000001104890038,https://2gis.kz/astana/firm/70000001104890038
Espresso Day,Espresso Day,"Улица Жубан Молдагалиев, 5",Нура,51.12592,71.36616,2GIS snapshot in repository,70000001094239246,https://2gis.kz/astana/firm/70000001094239246
Espresso Day,Espresso Day,"Улица Жумекен Нажимеденов, 7",Сарайшык,51.11505,71.50205,2GIS snapshot in repository,70000001096817045,https://2gis.kz/astana/firm/70000001096817045
Espresso Day,Espresso Day,"Улица Илияс Омаров, 19",Нура,51.13709,71.36889,2GIS snapshot in repository,70000001080836060,https://2gis.kz/astana/firm/70000001080836060
Espresso Day,Espresso Day,"Улица Илияс Омаров, 27/1",Нура,51.14271,71.36981,2GIS snapshot in repository,70000001075103853,https://2gis.kz/astana/firm/70000001075103853
