chain,id,lat,lon,district
E,70000001112351659,51.10172,71.41213,Есиль район
E,70000001110134638,51.12994,71.40133,Нура район
E,70000001091239612,51.10007,71.38835,Нура район
E,70000001101151171,51.11301,71.40274,Нура район
E,70000001103400178,51.13629,71.37714,Нура район
E,70000001080139494,51.11223,71.42198,Есиль район
E,70000001114082301,51.14184,71.41568,Нура район
E,70000001096817045,51.11505,71.50205,Сарайшык район
E,70000001103156650,51.11954,71.42468,Есиль район
E,70000001094239215,51.09980,71.40107,Нура район
E,70000001089519051,51.10681,71.40027,Нура район
E,70000001104267298,51.16015,71.48293,Алматы район
E,70000001097199344,51.13202,71.37546,Нура район
E,70000001080836060,51.13709,71.36889,Нура район
E,70000001083233614,51.09914,71.45145,Есиль район
E,70000001083233701,51.10642,71.44849,Есиль район
E,70000001094239246,51.12592,71.36616,Нура район
E,70000001113475084,51.10693,71.42488,Есиль район
E,70000001100210984,51.08794,71.46959,Есиль район
E,70000001103347468,51.12554,71.39892,Нура район
E,70000001114687961,51.11538,71.52580,Сарайшык район
E,70000001080139538,51.14100,71.37975,Нура район
E,70000001075103853,51.14271,71.36981,Нура район
E,70000001083262479,51.09872,71.43864,Есиль район
E,70000001084343816,51.10104,71.39185,Нура район
E,70000001114419352,51.11528,71.47660,Сарайшык район
E,70000001080139505,51.10800,71.43455,Есиль район
E,70000001087418118,51.16574,71.43299,Байконыр район
E,70000001113474970,51.16762,71.37441,Сарыарка район
E,70000001094239190,51.10028,71.41742,Есиль район
E,70000001113174318,51.14637,71.42352,Есиль район
E,70000001077221679,51.08866,71.40981,Есиль район
E,70000001111052726,51.09434,71.43890,Есиль район
E,70000001076393958,51.12561,71.40314,Нура район
E,70000001088846234,51.13632,71.39733,Нура район
E,70000001102889435,51.11074,71.39774,Нура район
E,70000001097199348,51.12456,71.38101,Нура район
E,70000001113896183,51.16422,71.38942,Нура район
E,70000001110144180,51.07986,71.43036,Есиль район
E,70000001114363966,51.08620,71.40793,Есиль район
E,70000001105387303,51.16018,71.46034,Байконыр район
E,70000001102511634,51.07463,71.42011,Есиль район
E,70000001101556223,51.15591,71.45357,Байконыр район
E,70000001093421006,51.12223,71.39775,Нура район
E,70000001104890038,51.10362,71.44343,Есиль район
